ordinal,name,description
0,vyriausybė,
0,ministerija,
10,seniūnija,"#### Kas tai?

Seniūnijai galite pateikti savo idėjas, pasiūlymus, pranešimus ar susirūpinimą dėl:

- Aplinkos tvarkymo;
- Prekybos viešose vietose;
- Būsto - statybų, bendrijų kūrimo;
- Vietos kultūrinių renginių, gyventojų sueigų.

[Plačiau...](/help/2/#seniunija)"
20,savivaldybė,"#### Kas tai?

Savivaldybei galite teikti savo idėjas, pasiūlymus, susirūpinimus dėl miesto/rajono:

- Švietimo ir su juo susijusių paslaugų;
- Teritorijos aplinkos tvarkymo ir apsaugos;
- Kultūros įstaigų veikos ir gyventojų poilsio;
- Socialinės paramos ir išmokų;
- Teritorijos saugumo ir apsaugos;
- Transporto ir kelių, gatvių;
- Prekybos ir paslaugų teikimo viešose vietose.

[Plačiau...](/help/2/#savivaldybe)"
30,rinkimų apygarda,"#### Kas tai?

Seimo nariui galite parašyti el. laišką norėdami:

- pasiklausti dėl  susitikimo su Seimo nariu (laiko, vietos);
- paprašyti, jog susitikime su Seimo nariu taip pat dalyvautų ir kitų valstybinių institucijų atstovai;
- susipažinti su Seimo nario veikla ir jos atskaita;
- pateikti pasiūlymus, pareiškimus, skundus dėl įstatymų leidybos.

[Plačiau...](/help/2/#seimas)"
