ordinal,name,description
0,ministras pirmininkas,
0,Lietuvos Respublikos Prezidentas,
0,europarlamentaras,
0,ministras,
0,seniūnas,
0,meras,
0,Seimo narys,
0,Seimo pirmininkas,
0,tarybos pirmininkas,
0,direktorius,
90,kita,
