
Č. Sugiharos g.
2,3,
D. Dudajevo skv.
1,24,
J. Jasinskio g.
1,10,10a,11,12,14,15,16,
J. Jasinskio g. 16, A. Goštauto g.
40,
J. Jasinskio g.
17,3,4,
J. Jasinskio g. 5, A. Rotundo g.
6,
J. Jasinskio g.
6,8,9,
Jurgio Matulaičio a.
11,3,5,7,
Justiniškių g.
101,101a,103,105,107,109,109a,111,113,115,117,119,14,14a,14b,16,20,22,24,26,27,28,28a,28b,29,30,31,32,33,34,35,36,37,37a,38,39,40,40a,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62a,63,64,65,66,67,69,70,70a,71,72,73,74,75,76,77,78,80,82,84,86,91,91a,95,97,99,
Laisvės pr.
107,109,111,113,117,119,121,123,127,127a,37,39,43,43c,43e,45a,47,48,48a,50a,50d,50f,50g,50h,50i,50j,51,53,53a,53b,55,55a,55b,58,59,59a,60,61,63,64,64a,65,65a,66,67,68,69,70,71,71a,72,73,74,76,77,78,79,79a,80,81,83,85,87,87a,89,91,93,95,97,99,99a,
Ozo g.
1,10,11,12,13,15,17,19,200,22,24,26,28,28a,3,30,32,
Ozo g. 34, Gelvonų g.
2,
Ozo g.
4,40,5,51,51a,6,7,9,
Rygos g. 1, Taikos g.
1,
Rygos g.
10,11,11a,12,12a,13,14,15,16,17,17a,17b,18,2,20,21,23,24,25,26,26a,27,29,3,30,31,33,34,34a,35,36,37,38,39,4,40,41,42,44,5,7,7a,9,
Sudervės kelias
30,
Tujų g.
1,11,13,15,17,19,2,21,23,25,27,29,3,5,7,9,
Viršuliškių g.
10,101,103,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,39,41,42,43,45,47,49,51,53,55,57,59,6,61,63,65,67,69,7,71,73,75,75a,75b,77,79,8,81,83,85,87,89,9,91,93,95,97,99,
Viršuliškių skg.
48,50,52,54,58,78,80,81,83,83a,85,89,91,97a,
