
Šaltinių g. 1, Algirdo g.
34,
Šaltinių g.
10,12,14,15,17,3,4,7,8,9,
Šermukšnių g.
1,2,
Šermukšnių g. 2, Vasario 16-osios g.
2,
Šermukšnių g.
3,4,6,6a,8,
Šv. Stepono g. 1, Pylimo g.
43,
Šv. Stepono g.
10,11,12,13,14,15,16,17,18,19,2,20,
Šv. Stepono g. 21, Kauno g.
2,
Šv. Stepono g.
22,23,24,25,27,28,3,30,31,32,34,
Šv. Stepono g. 35, Panerių g.
4,
Šv. Stepono g.
35a,36,37,38,39,4,41,5,6,7,8,9,
Šviesos g.
6,
Švitrigailos g.
10,11b,11c,11d,
Švitrigailos g. 13, Naugarduko g.
42,
Švitrigailos g.
15,
Švitrigailos g. 16, T. Ševčenkos g.
14,
Švitrigailos g.
17,18,19,20,21,22,23,
Švitrigailos g. 26, Naugarduko g.
40,
Švitrigailos g.
28,3,30,31,32,
Švitrigailos g. 33, Panerių g.
33,
Švitrigailos g.
37,39,4,40,5,
Švitrigailos g. 6, A. Vivulskio g.
17,
Švitrigailos g.
7,
Švitrigailos g. 7, A. Vivulskio g.
16,
Švitrigailos g. 8, A. Vivulskio g.
14,
Žemaitės g.
1,11,13,15,17,21,22,26,6,7,9,
A. Domaševičiaus g.
3,5,7,9,
A. Goštauto g.
11,12,12a,
A. Goštauto g. 2, A. Jakšto g.
15,
A. Goštauto g. 3, A. Jakšto g.
24,
A. Goštauto g.
4,40,5,7,8,9,
A. Jakšto g.
1,11,12,13,14,16,2,22,26,3,5,
A. Jakšto g. 6, Šermukšnių g.
5,
A. Jakšto g.
7,
A. Jakšto g. 8, Šermukšnių g.
10,
A. Jakšto g.
9,
A. Rotundo g.
1,
A. Rotundo g. 2, Gedimino pr.
50,
A. Rotundo g.
3,4a,5,
A. Rotundo g. 7, J. Jasinskio g.
7,
A. Smetonos g.
1,
A. Smetonos g. 1, Jogailos g.
9,
A. Smetonos g.
2,
A. Smetonos g. 2, Jogailos g.
11,
A. Smetonos g.
4,5,6,7,
A. Smetonos g. 7, A. Stulginskio g.
4,
A. Stulginskio g. 1, Gedimino pr.
30,
A. Stulginskio g.
3,5,
A. Vienuolio g.
10,12,4,5,6,7,8,
A. Vivulskio g. 1, Mindaugo g.
1,
A. Vivulskio g.
10,11,12,12a,12b,13,18,19,2,
A. Vivulskio g. 2, Mindaugo g.
11,
A. Vivulskio g.
21,
A. Vivulskio g. 22, Vytenio g.
11,
A. Vivulskio g.
23,27,3,30,31,32,33,34,35,36,4,41,43,4a,5,7,9,
Akmenų g.
3,4,4a,5,6,7,9,
Algirdo g.
10,11,12,13,
Algirdo g. 14, T. Ševčenkos g.
7,
Algirdo g.
15,16,17,18,19,2,
Algirdo g. 2, J. Basanavičiaus g.
22,
Algirdo g.
20,22,
Algirdo g. 23, T. Ševčenkos g.
6,
Algirdo g.
24,25,26,27,29,29a,30,
Algirdo g. 30, Naugarduko g.
26,
Algirdo g.
31,32,
Algirdo g. 32, Šaltinių g.
2,
Algirdo g.
36,37,37a,38,39,4,40,41,43,45,46,47,48,49,49a,5,59,6,61,63,65,67,69,7,71,77,9,
Aludarių g.
1,2,4,6,
Amatų g.
9,
Ankštoji g.
3,
Aukų g.
3,
Aukų g. 3, A. Domaševičiaus g.
11,
Beatričės g.
3,
Beržyno g.
3,4,5,7,7a,8,9,
Birželio 23-iosios g. 1, Naugarduko g.
51,
Birželio 23-iosios g.
10,11,13,
Birželio 23-iosios g. 15, T. Ševčenkos g.
22,
Birželio 23-iosios g.
2,3,4,5,6,7,9,
Dainavos g.
5,6,
Gedimino pr.
1,12,13,14,14a,15,17,
Gedimino pr. 18, Jogailos g.
2,
Gedimino pr.
19,
Gedimino pr. 19, A. Vienuolio g.
1,
Gedimino pr.
2,20,
Gedimino pr. 21, A. Vienuolio g.
2,
Gedimino pr.
22,23,24,
Gedimino pr. 25, A. Jakšto g.
1,
Gedimino pr.
26,27,
Gedimino pr. 28, A. Stulginskio g.
2,
Gedimino pr.
29,2a,
Gedimino pr. 2b, Odminių g.
1,
Gedimino pr.
3,31,32,
Gedimino pr. 33, Vasario 16-osios g.
17,
Gedimino pr.
34,
Gedimino pr. 35, J. Tumo-Vaižganto g.
1,
Gedimino pr.
36,37,38,39,3a,4,40,
Gedimino pr. 40, Vasario 16-osios g.
1,
Gedimino pr.
41,42,43,44,45,46,47,48,49,
Gedimino pr. 5, K. Sirvydo g.
7,
Gedimino pr. 50, A. Rotundo g.
2,
Gedimino pr.
51,
Gedimino pr. 51, Gynėjų g.
1,
Gedimino pr.
52,53,54,54a,54b,56,56a,56b,58,5a,6,60,62,64,7,9,
Geležinio Vilko g.
11,12,14,15,16,17,19,21,23,25,27,27a,29,29a,3,3a,47a,5,53,7,7a,9,
Geležinkelio g. 1, Aušros Vartų g.
29,
Geležinkelio g.
12,14,16,19,3,5,6,8,8a,
Gynėjų g.
10,47,49,5,7,8,9,
J. Basanavičiaus g. 1, Pylimo g.
13,
J. Basanavičiaus g.
11,
J. Basanavičiaus g. 11, Teatro g.
1,
J. Basanavičiaus g.
12,
J. Basanavičiaus g. 13, Teatro g.
2,
J. Basanavičiaus g.
14,15,16,17,17a,18,19,20,21,22,23,24,25,26,27,28,29,29a,3,30,31,32,33,35,36,37,38,4,41,42,43,45,49,5,51,53,6,
J. Basanavičiaus g. 6, Vingrių g.
2,
J. Basanavičiaus g.
7,
J. Basanavičiaus g. 8, Vingrių g.
1,
J. Basanavičiaus g.
9,
J. Jasinskio g.
1,10,10a,11,12,14,15,16,
J. Jasinskio g. 16, A. Goštauto g.
40,
J. Jasinskio g.
17,3,4,
J. Jasinskio g. 5, A. Rotundo g.
6,
J. Jasinskio g.
6,8,9,
J. Savickio g.
11,13,15,17,21,3,4,5,7,9,
J. Tumo-Vaižganto g.
1,
J. Tumo-Vaižganto g. 10, A. Goštauto g.
7,
J. Tumo-Vaižganto g.
2,4,4a,6,7,8,
J. Tumo-Vaižganto g. 8, Lukiškių g.
27,
Jogailos g.
10,12,14,16,3,4,5,6,7,8,9a,
Jovaro g.
10,
Jovaro g. 11, M. K. Čiurlionio g.
30,
Jovaro g. 12, M. K. Čiurlionio g.
32,
Jovaro g.
3,4,5,6,7,8,
K. Donelaičio g.
10,10a,12,12a,12b,12c,14,15,16,18,20,3,3a,4,5,
K. Donelaičio g. 5, Beržyno g.
1,
K. Donelaičio g.
6,
K. Donelaičio g. 7, Beržyno g.
2,
K. Donelaičio g.
8,8a,9,
