
Šaltkalvių g.
10,13,18,20,22,24,26,28,32,38,44,48,50,
Šaltkalvių g. 52, Vyšnių g.
2,
Šaltkalvių g.
54,56,58,60,64,66,68,70,72,8,
Žirnių g.
13,15,17,35,37,50,51,53,55,58,62,64,66,84,86,88,90,
A. Jaroševičiaus g.
10,11,12,
A. Jaroševičiaus g. 12, Lenkų g.
1,
A. Jaroševičiaus g.
13,14,15,16,17,18,20,22,
A. Jaroševičiaus g. 22, Panevėžio g.
14,
A. Jaroševičiaus g.
3,4,5,7,9,
Adutiškio g.
3,4,5,5a,6,
Alšėnų g.
10,12,14,5,7,8,
Alytaus g.
10,11,12,13,14,15,16,18,20,22,24,3,5,7,9,
Ateities g.
1,10,11,12,15,17,17a,1a,1b,1c,1d,20,21,21a,22,23,24,25,25b,26,28,3,3a,3b,3c,3d,44,5,50,5a,5b,5c,5d,7,7a,7b,7c,9,9a,9b,
Brolių g. 1, Dariaus ir Girėno g.
1,
Brolių g.
10,12,14,14a,
Brolių g. 15, Prūsų g.
12,
Brolių g.
16,17,18,19,1a,1b,1c,1d,21,23,8,
Butrimonių g.
10,11,12,13,14,15,17,5,8,9,
Darbininkų g.
10,11,12,13,14,14a,15,16,18,19,21,22,23,24,26,35,39,4,8,9,
Dariaus ir Girėno g.
10,10a,11,12,13,16,18,5a,5b,5c,5d,5f,6,7,7a,8,9,9a,
Dzūkų g.
101,103,105,107,10a,10b,10c,11a,13,13a,14,15,16,17,18,19,19a,2,20,21,21a,22,23,25,26,27,28,29,2a,3,30,31,32,33,34,35,
Dzūkų g. 35, Panevėžio g.
21,
Dzūkų g.
36,38,4,40,43,45,48,4b,5,50,51,52,54,54a,55,55a,57,57a,58,6,62,66,67,6a,71,73,75,77,77a,
Dzūkų g. 79, Tyzenhauzų g.
22,
Dzūkų g.
81,85,
Dzūkų g. 89, Varėnos g.
1,
Dzūkų g.
91,
Dzūkų g. 95, Tarpkalnio g.
1,
Dzūkų g. 97, Tarpkalnio g.
2,
Garvežių g.
1,15,
Garvežių g. 2, Brolių g.
22,
Garvežių g.
3,4,5,6,6a,8,9,
Gudų g. 1, Pelesos g.
47,
Gudų g.
10,
Gudų g. 11, Adutiškio g.
2,
Gudų g.
