id,country,county,municipality,civilparish,city,citygenitive,street
46,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Merkinės gatvė
47,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Miciūnų gatvė
48,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Mildos gatvė
49,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Mizarų gatvė
50,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Miškų gatvė
51,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Nemuno gatvė
52,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Neravų gatvė
53,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,P. Cvirkos gatvė
54,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Pakalnės gatvė
55,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Pakrantės gatvė
56,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Palangos gatvė
57,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Pamiškio gatvė
58,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Pavėsio gatvė
59,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Pramonės gatvė
60,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Pušyno gatvė
61,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Pušų gatvė
62,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Pylimo gatvė
63,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Radvilonių gatvė
64,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Raigardo gatvė
65,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Rasos gatvė
66,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Ratnyčios gatvė
67,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Ricielių gatvė
68,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Ringeliškės gatvė
69,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Rūtų gatvė
70,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Sakų gatvė
71,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Salos gatvė
72,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Saulėtekio gatvė
73,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Sausoji gatvė
74,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Smiltynų gatvė
75,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Smėlio gatvė
76,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Snaigupės gatvė
