institution,elderate,city,street,numbers
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Kaukiškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Kudabiškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Kuksų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Kukučių kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Kurtiškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Kėkštų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Lazinkų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Marijampolio kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Naujosios Katinautiškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Navikų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Padysnio kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Pajuodupio kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Petroniškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Petrošiūnų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Piemenų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Pivorų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Pupienos kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Radiškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Rimaldiškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Saplių kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Sekonių kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Senosios Katinautiškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Spijotiškės kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Surmos kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Svirkų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Vilėkų kaimas,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,,Vosiūnų kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Alejūnų kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Alksnaičio viensėdis,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Alksno viensėdis,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Antanavo kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Antaniškės I kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Antaniškės II kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Aukštakalnių kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Ažukarklinės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Ažutaunio kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Bažnytkaimio kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Beržininkų kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Bikėnų kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Bimberiškės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Bėgūnų kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Degutėlių kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Didžiasalio kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Driškūnų kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dvarykščiaus kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkštelių kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Aušros gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Aušros skersgatvis,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Bažnyčios gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Daržų gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Dysnos gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Ežero gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Geležinkelio gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Hrebnickio gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Laisvės gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Lazdynų gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Naujoji gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Partizanų gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Pergalės gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Persveto gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,S. Raštikio gatvė,
