institution,elderate,city,street,numbers
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Kurmėlių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Kvietienių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Laibiškių kaimas,Baraučiznos gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Laibiškių kaimas,Tujų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Laibiškių kaimas,Ukmergės gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Leonpolio kaimas,Dvaro gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Leonpolio kaimas,Jonuškų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Leonpolio kaimas,Sodo gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Leonpolio kaimas,Tujų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Leonpolio kaimas,Tvenkinio gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Liepelių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Lokėnų kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Masionių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Mikačių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Milašiūnų kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Navikų kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Nazariškių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Paberžės kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Padubilčių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Pagojės kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Paliepės kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Paąžuolių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Plotų kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Pučionių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Ratulių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Rokų kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Rotautų kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Saliečių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 1-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 10-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 11-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 12-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 13-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 14-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 15-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 16-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 17-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 2-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 3-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 4-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 5-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 6-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 7-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 8-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Armonos 9-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 1-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 2-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 3-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 4-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 5-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 6-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 7-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 8-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lelijų 9-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lino 1-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lino 2-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lino 3-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lino 4-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lino 5-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lino 6-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lino 7-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarapų kaimas,Lino 8-oji gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Sarosčių kaimas,Sarosčių gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Seveikių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Skynimų kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Statikų kaimas,Aitvarų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Statikų kaimas,Deltuvos gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Statikų kaimas,Džiaugsmo gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Statikų kaimas,Pramonės gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Statikų kaimas,Storės gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Statikų kaimas,Upelio gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Statikų kaimas,Vandens gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Statikų kaimas,Šiaurės gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Tabalos kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Tatkūnų kaimas,Miškų gatvė,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Togailų viensėdis,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Trainių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Užuraisčio kaimas,,
