Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
452, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Menkiniai, Menkinių kaimas
453, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Mockupiai, Mockupių kaimas
454, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Paberžupiai, Paberžupių kaimas
455, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Pavasijai, Pavasijų kaimas
456, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Pavilktiniai, Pavilktinių kaimas
457, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Pikžirniai, Pikžirnių kaimas
458, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Ragožiai, Ragožių kaimas
459, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Rūgiai, Rūgių kaimas
460, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Santakai, Santakų kaimas
461, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Sintautai, Sintautų kaimas
462, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Skaistgiriai, Skaistgirių kaimas
463, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Skardupiai, Skardupių kaimas
464, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Starkai, Starkų kaimas
465, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Storiūkai, Storiūkų kaimas
466, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Suodžiai, Suodžių kaimas
467, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sintautų seniūnija, Šarvininkiškė, Šarvininkiškės kaimas
468, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Aukštoji, Aukštosios kaimas
469, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Būtviliškiai, Būtviliškių kaimas
470, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Juodupėnai, Juodupėnų kaimas
471, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Juškakaimiai, Juškakaimių kaimas
472, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Pliorišiai, Pliorišių kaimas
473, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Rukšniai, Rukšnių kaimas
474, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Šilininkai, Šilininkų kaimas
475, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Verpikai, Verpikų kaimas
476, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Žiūriai, Žiūrių kaimas
477, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Slavikų seniūnija, Žiurkalnis, Žiurkalnio kaimas
478, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Banaičiai, Banaičių kaimas
479, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Barkiai, Barkių kaimas
480, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Bosai, Bosų kaimas
481, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Dievaičiai, Dievaičių kaimas
482, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Dvarčiškiai, Dvarčiškių kaimas
483, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Iltrakiai, Iltrakių kaimas
484, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Keršiškiai, Keršiškių kaimas
485, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Kirkilai, Kirkilų kaimas
486, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Kirsliai, Kirslių kaimas
487, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Margiškiai, Margiškių kaimas
488, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Norkviečiai, Norkviečių kaimas
489, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Pukniai, Puknių kaimas
490, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Ramoniškiai, Ramoniškių kaimas
491, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Rėžgaliai, Rėžgalių kaimas
492, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Rėžiūkai, Rėžiūkų kaimas
493, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Sakalai, Sakalų kaimas
494, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Svaiginiai, Svaiginių kaimas
495, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Trakiniai, Trakinių kaimas
496, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Sudargo seniūnija, Žiliai, Žilių kaimas
497, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Advernai, Advernų kaimas
498, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Aržuolupiai, Aržuolupių kaimas
499, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Ašmučiai, Ašmučių kaimas
500, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Auškadariniai, Auškadarinių kaimas
501, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Baltkojai, Baltkojų kaimas
502, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Batiškiai, Batiškių kaimas
503, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Bedaliai, Bedalių kaimas
504, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Bundzai, Bundzų kaimas
505, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Dačnaujiena, Dačnaujienos kaimas
506, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Daugėliškiai, Daugėliškių kaimas
507, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Dėdynai, Dėdynų kaimas
508, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Degučiai, Degučių kaimas
509, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Duobiškėliai, Duobiškėlių kaimas
510, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Emiliava, Emiliavos kaimas
511, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Endrikiai, Endrikių kaimas
512, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Ežeriūkai, Ežeriūkų kaimas
513, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Gabartai, Gabartų kaimas
514, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Gnievai, Gnievų kaimas
515, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Bliuvai, Bliuvų kaimas
516, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Gudaičiai, Gudaičių kaimas
517, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Jurgbūdžiai, Jurgbūdžių kaimas
518, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Karniai, Karnių kaimas
519, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Murinai, Murinų kaimas
520, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Pavingrupiai, Pavingrupių kaimas
521, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Piečiškiai, Piečiškių kaimas
522, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Pranskabūdis, Pranskabūdžio kaimas
523, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Ramoniškiai, Ramoniškių kaimas
524, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Raugalai, Raugalų kaimas
525, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Stoškai, Stoškų kaimas
526, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Šlyžiai, Šlyžių kaimas
527, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Trakiniai, Trakinių kaimas
528, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Tumpai, Tumpų kaimas
529, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Valiai, Valių kaimas
530, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Viltrakiai, Viltrakių kaimas
531, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Vyžpiniai, Vyžpinių kaimas
532, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žalvėderiai, Žalvėderių kaimas
533, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žėgliai, Žėglių kaimas
534, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Akelaičiai, Akelaičių kaimas
535, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Ančlaukis, Ančlaukio kaimas
536, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Aruodiškiai, Aruodiškių kaimas
537, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Auksėnai, Auksėnų kaimas
538, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bajorai, Bajorų kaimas
539, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Dambauka, Dambaukos kaimas
540, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Daukšaičiai, Daukšaičių kaimas
541, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Galioriškės, Galioriškių kaimas
542, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Geisteriškiai, Geisteriškių kaimas
543, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Grajauskai, Grajauskų kaimas
544, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Kuosėnai, Kuosėnų kaimas
545, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Kuosiai, Kuosių kaimas
546, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Lakštučiai, Lakštučių kaimas
547, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Margai, Margų kaimas
548, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Mockabūdžiai, Mockabūdžių kaimas
549, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Moliniškiai, Moliniškių kaimas
550, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Norvydai, Norvydų kaimas
551, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Ožkabaliai I, Ožkabalių I kaimas
552, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Ožkabaliai II, Ožkabalių II kaimas
553, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Padvariai, Padvarių kaimas
554, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Pagerniavė I, Pagerniavės I kaimas
555, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Pagerniavė II, Pagerniavės II kaimas
556, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Adamarina, Adamarinos kaimas
557, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Baltrakis, Baltrakio kaimas
558, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Dabravolė, Dabravolės kaimas
559, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Dapkiškiai, Dapkiškių kaimas
560, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Deivoniškiai, Deivoniškių kaimas
561, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižų Daržininkai, Gižų Daržininkų kaimas
562, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Išlandžiai, Išlandžių kaimas
563, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Lapanka, Lapankos kaimas
564, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Marijanavas, Marijanavo kaimas
565, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Naujakaimis, Naujakaimio kaimas
566, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Naujienėlė, Naujienėlės kaimas
567, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Naujieji Gižai, Naujųjų Gižų kaimas
568, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Oranai, Oranų kaimas
569, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Pagramdai, Pagramdų kaimas
570, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Paikiai, Paikių kaimas
571, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Rimavičiai, Rimavičių kaimas
572, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Rūda, Rūdos kaimas
573, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Senkiškiai, Senkiškių kaimas
574, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Strazdės, Strazdžių kaimas
575, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Viktorinė, Viktorinės kaimas
576, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Žvirgždaičiai, Žvirgždaičių kaimas
577, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Armudiškiai, Armudiškių kaimas
578, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Aštriakalnis, Aštriakalnio kaimas
579, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Bambiniai, Bambinių kaimas
580, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Duoniškiai, Duoniškių kaimas
581, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Egliniškiai I, Egliniškių I kaimas
582, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Egliniškiai II, Egliniškių II kaimas
583, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Graužiniai, Graužinių kaimas
584, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražupiai, Gražupių kaimas
585, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Jakiškiai, Jakiškių kaimas
586, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Karpiejai, Karpiejų kaimas
587, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Kauniškiai, Kauniškių kaimas
588, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Kregždžiai, Kregždžių kaimas
589, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Lankupėnai, Lankupėnų kaimas
590, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Lankupka, Lankupkos kaimas
591, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Norvydai, Norvydų kaimas
592, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Ramovietė, Ramovietės kaimas
593, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Stirniškiai, Stirniškių kaimas
594, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Strazdinė, Strazdinės kaimas
595, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Antupiai, Antupių kaimas
596, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Augiškiai, Augiškių kaimas
597, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Bačkiškiai, Bačkiškių kaimas
598, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Bardauskai, Bardauskų kaimas
599, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Beržiniai, Beržinių kaimas
600, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Būdviečiai, Būdviečių kaimas
601, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Degsniškiai, Degsniškių kaimas
602, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Degučiai, Degučių kaimas
603, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Dubėnai, Dubėnų kaimas
604, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Geisteriškiai, Geisteriškių kaimas
605, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Gobiškiai, Gobiškių kaimas
606, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Indūriškiai, Indūriškių kaimas
607, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Juodupiai, Juodupių kaimas
608, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Kamičiai, Kamičių kaimas
609, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Karkliniai, Karklinių kaimas
610, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Kiršai, Kiršų kaimas
611, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Krūzmargis, Krūzmargio kaimas
612, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Lukšiškiai, Lukšiškių kaimas
613, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Merkšiškiai, Merkšiškių kaimas
614, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Mudriai, Mudrių kaimas
615, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Navavolė, Navavolės kaimas
616, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Navininkai, Navininkų kaimas
617, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Palaima, Palaimos kaimas
618, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Keturvalakių seniūnija, Palūkiškiai, Palūkiškių kaimas
619, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Beržynas, Beržyno kaimas
620, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Boblaukis, Boblaukio kaimas
621, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Daugėlaičiai, Daugėlaičių kaimas
622, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Gegužiai, Gegužių kaimas
623, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Griebčiai, Griebčių kaimas
624, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Gustaičiai, Gustaičių kaimas
625, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Jonaičiai, Jonaičių kaimas
626, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Kybartai, Kybartų kaimas
627, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Kurmiškiai, Kurmiškių kaimas
628, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Lygumai, Lygumų kaimas
629, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Medininkai, Medininkų kaimas
630, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Miestlaukis, Miestlaukio kaimas
631, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Moliniai, Molinių kaimas
632, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Obeliškiai, Obeliškių kaimas
633, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Kybartų seniūnija, Opšrūtėliai, Opšrūtėlių kaimas
