Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
44, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Jurgiškiai, Jurgiškių kaimas
45, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Kalneliai, Kalnelių kaimas
46, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Kazlavas, Kazlavo kaimas
47, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Klinavas, Klinavo kaimas
48, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Kovai, Kovų kaimas
49, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Makauskai, Makauskų kaimas
50, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Mantrimai, Mantrimų kaimas
51, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Pelucmurgiai, Pelucmurgių kaimas
52, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Sabaliavas, Sabaliavo kaimas
53, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Saulėgrąžiai, Saulėgrąžių kaimas
54, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Sauselis, Sauselio kaimas
55, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Senabūdis, Senabūdžio kaimas
56, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Skaisčiai, Skaisčių kaimas
57, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Skaisteliai, Skaistelių kaimas
58, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Liubavo seniūnija, Šarkaitis, Šarkaičio kaimas
59, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Berezninkai, Berezninkų kaimas
60, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Burokai, Burokų kaimas
