Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
1688, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Varkališkės, Varkališkių kaimas
1689, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Vekonys, Vekonių kaimas
1690, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Vigada, Vigados kaimas
1691, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Vilčkai, Vilčkų kaimas
1692, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Vilūnai, Vilūnų kaimas
1693, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Visginai, Visginų kaimas
1694, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Vladipolis, Vladipolio kaimas
1695, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Zauliškės, Zauliškių kaimas
1696, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Zavadna, Zavadnos viensėdis
1697, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Žydeikiškės, Žydeikiškių kaimas
1698, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Kruonio seniūnija, Žiūronai, Žiūronų kaimas
1699, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Nemaitonys, Nemaitonių kaimas, Pievų gatvė
1700, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Nemaitonys, Nemaitonių kaimas, Užuguosčio gatvė
1701, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Nemaitonys, Nemaitonių kaimas, Vaitkūnų gatvė
1702, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Šoliškės, Šoliškių kaimas, Kalvių gatvė
1703, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Varkalės, Varkalių kaimas, Gėlių gatvė
1704, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Varkalės, Varkalių kaimas, Kiemų gatvė
1705, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Varkalės, Varkalių kaimas, Lelijų gatvė
1706, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Varkalės, Varkalių kaimas, Pamiškės gatvė
1707, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Varkalės, Varkalių kaimas, Žiežmarių gatvė
1708, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Žirgaičiai, Žirgaičių kaimas
1709, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Nemaitonių seniūnija, Žiūkiškės, Žiūkiškių kaimas
1710, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Beloniškės, Beloniškių kaimas, Alyvų gatvė
1711, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Beloniškės, Beloniškių kaimas, Beloniškių gatvė
1712, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Beloniškės, Beloniškių kaimas, Lomenos gatvė
1713, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Beloniškės, Beloniškių kaimas, Medinų gatvė
1714, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Beloniškės, Beloniškių kaimas, Ramybės gatvė
1715, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Beloniškės, Beloniškių kaimas, Smilgių gatvė
1716, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Beloniškės, Beloniškių kaimas, Trumpoji gatvė
1717, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Lomeniai, Lomenių kaimas, Elektrėnų gatvė
1718, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Lomeniai, Lomenių kaimas, Liepų gatvė
1719, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Mackūnai, Mackūnų kaimas
1720, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Medinai, Medinų kaimas
1721, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Muldiškės, Muldiškių kaimas
1722, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Navikai, Navikų kaimas
1723, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Paberžė, Paberžės kaimas
1724, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Pagiriai, Pagirių glž. st.
1725, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Paliepis, Paliepio kaimas
1726, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Paromatės Krušonys, Paromatės Krušonių kaimas
1727, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Putriškės, Putriškių kaimas
1728, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Rusiai, Rusių kaimas
1729, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Smilgiai, Smilgių kaimas
1730, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Surveliai, Survelių kaimas
1731, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Svirplionys, Svirplionių kaimas
1732, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Šilagalių Medinai, Šilagalių Medinų kaimas
1733, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Šiliniai, Šilinių kaimas
1734, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Šilonys, Šilonių kaimas
1735, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Šimkaučiškės, Šimkaučiškių kaimas
1736, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Šukiškės, Šukiškių kaimas
1737, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Tartokas, Tartoko kaimas
1738, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Vaidučiai, Vaidučių kaimas
1739, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Vilionys, Vilionių kaimas
1740, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Palomenės seniūnija, Živinta, Živintos kaimas
1741, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Dainavėlė, Dainavėlės kaimas, Kaštonų gatvė
1742, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Dainava, Dainavos kaimas, Didžioji gatvė
1743, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Dainava, Dainavos kaimas, Dvaro gatvė
1744, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Dainava, Dainavos kaimas, Tvenkinio gatvė
1745, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Kaugonys, Kaugonių kaimas, Šilų gatvė
1746, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Našlėnai, Našlėnų kaimas, Savanorių gatvė
1747, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Paparčiai, Paparčių kaimas, Bažnyčios gatvė
1748, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Paparčiai, Paparčių kaimas, Dominikonų gatvė
1749, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Paparčiai, Paparčių kaimas, Mičiūnų gatvė
1750, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Paparčiai, Paparčių kaimas, Paparčių gatvė
1751, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Paparčiai, Paparčių kaimas, Pievų gatvė
1752, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Paparčiai, Paparčių kaimas, Ropėjos gatvė
1753, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Pūriškės, Pūriškių kaimas
1754, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Skynimai, Skynimų kaimas
1755, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Šešonys, Šešonių kaimas
1756, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Tadarava, Tadaravos kaimas
1757, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Tatarka, Tatarkos kaimas
1758, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Vareikonys, Vareikonių kaimas
1759, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Varniškės, Varniškių kaimas
1760, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Paparčių seniūnija, Žaliasis Ragas, Žaliojo Rago viensėdis
1761, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Ąžuolų gatvė
1762, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Geležinkelio gatvė
1763, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Miško gatvė
1764, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Pašilės gatvė
1765, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Pravienos gatvė
1766, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Rumšiškių gatvė
1767, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Sodų gatvė
1768, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Stoties gatvė
1769, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės I, Pravieniškių I kaimas, Vyšnių gatvė
1770, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Pravieniškių seniūnija, Pravieniškės II, Pravieniškių II kaimas, Pravieniškių gatvė
1771, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Antakalnio gatvė
1772, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Aušros gatvė
1773, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Kaspariškių gatvė
1774, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Laukų gatvė
1775, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Liepų gatvė
1776, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Paukštyno gatvė
1777, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Pentiškių gatvė
1778, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Rožių gatvė
1779, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Šviesos gatvė
1780, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Antakalnis, Antakalnio kaimas, Trumpoji gatvė
1781, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Būbliai, Būblių kaimas, Strėvos gatvė
1782, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, J. Aisčio gatvė
1783, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Alytaus gatvė
1784, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Ąžuolų gatvė
1785, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Dariaus ir Girėno gatvė
1786, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, V. Didžioko gatvė
1787, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Gedimino gatvė
1788, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Gojaus gatvė
1789, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Pavasario gatvė
1790, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Pilkapių gatvė
1791, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Šilo gatvė
1792, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Sodų gatvė
1793, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Tvenkinio gatvė
1794, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Dovainonys, Dovainonių kaimas, Vytauto gatvė
1795, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Grabučiškės, Grabučiškių kaimas, Gastilonių gatvė
1796, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Grabučiškės, Grabučiškių kaimas, Gėlių gatvė
1797, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Grabučiškės, Grabučiškių kaimas, Klevų gatvė
1798, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Grabučiškės, Grabučiškių kaimas, Lauko gatvė
1799, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Juodiškės, Juodiškių kaimas, Liepų gatvė
1800, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Alyvų gatvė
1801, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Bitininkų gatvė
1802, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Ežerėlio gatvė
1803, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Ežero gatvė
1804, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Ežero 2-oji gatvė
1805, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Gėlių gatvė
1806, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Jazminų gatvė
1807, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Kertupio gatvė
1808, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Kranto gatvė
1809, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Krunos gatvė
1810, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Lakštingalų gatvė
1811, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Lygumos gatvė
1812, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Marių gatvė
1813, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Miško gatvė
1814, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Miško 2-oji gatvė
1815, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Pušyno gatvė
1816, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Pušų gatvė
1817, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Ramunių gatvė
1818, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Šilo gatvė
1819, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Sodininkų gatvė
1820, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Sodų gatvė
1821, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Tulpių gatvė
1822, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Tvenkinio gatvė
1823, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Upelio gatvė
1824, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Karčiupis, Karčiupio kaimas, Vidurinioji gatvė
1825, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Pamieris, Pamierio kaimas, Obuolių gatvė
1826, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Pamieris, Pamierio kaimas, Radastų gatvė
1827, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Petriškės, Petriškių kaimas
1828, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Pievelės, Pievelių kaimas
1829, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Salomiškis, Salomiškio kaimas
1830, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Trakiai, Trakių kaimas
1831, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Ugoniškės, Ugoniškių kaimas
1832, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Uogintai, Uogintų kaimas
1833, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Ūta, Ūtos kaimas
1834, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Užtakai, Užtakų kaimas
1835, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Rumšiškių seniūnija, Vosyliškės, Vosyliškių kaimas
1836, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Dumsiai, Dumsių viensėdis, Šilo gatvė
1837, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Dumsiai, Dumsių viensėdis, Stoties gatvė
1838, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Guronys, Guronių kaimas, Guronių gatvė
1839, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Guronys, Guronių kaimas, Stoties gatvė
1840, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Krivonėliai, Krivonėlių kaimas
1841, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Krivonys, Krivonių kaimas
1842, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Laukagalis, Laukagalio kaimas
1843, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Leitiškės, Leitiškių kaimas
1844, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Lėliai, Lėlių kaimas
1845, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Liauriškės, Liauriškių kaimas
1846, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Litviniškės, Litviniškių kaimas
1847, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Mančiūnai, Mančiūnų kaimas
1848, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Mazaliaučizna, Mazaliaučiznos kaimas
1849, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Naujažeris, Naujažerio kaimas
1850, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Neveliškės, Neveliškių kaimas
1851, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Obuchovka, Obuchovkos kaimas
1852, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Padaliai, Padalių kaimas
1853, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Paukščiai, Paukščių kaimas
1854, LIETUVOS RESPUBLIKA, Kauno apskritis, Kaišiadorių rajono savivaldybė, Žaslių seniūnija, Petkaučizna, Petkaučiznos kaimas
