Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
49, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Mačioniai, Mačionių kaimas
50, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Madlinava, Madlinavos kaimas
51, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Narauninkiškiai, Narauninkiškių kaimas
52, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Pasraučiai, Pasraučių kaimas
53, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Ražuotinė, Ražuotinės kaimas
54, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Rudėnai, Rudėnų kaimas
55, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Rukuižiai, Rukuižių kaimas
56, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Bukonių seniūnija, Šapova, Šapovos kaimas
57, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Bagdonava, Bagdonavos kaimas
58, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Bajoriškiai, Bajoriškių kaimas
59, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Barborlaukis, Barborlaukio kaimas
60, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Dirvaliai, Dirvalių kaimas
61, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Dumsiškiai, Dumsiškių kaimas
62, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Dumsiai, Dumsių glž. st.
63, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Dumsiai, Dumsių kaimas
64, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Gaižiūnai, Gaižiūnų glž. st.
65, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Gumbiškiai, Gumbiškių kaimas
66, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Kisieliškiai, Kisieliškių kaimas
67, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Dumsių seniūnija, Klimynė, Klimynės kaimas
