"seniunijos pav.","gatves pavadinimas","miestas","pastatu numeriai","komentarai"
"Antakalnio seniūnija","Vaidilutės g.","Vilniaus miestas",,
"Antakalnio seniūnija","Veržuvos g.","Vilniaus miestas",,
"Antakalnio seniūnija","P. Vileišio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Viršupio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Vismaliukų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Vinciūniškių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Volungės g.","Vilniaus miestas",,
"Antakalnio seniūnija","Žirgo g.","Vilniaus miestas",,
"Antakalnio seniūnija","Žolyno g.","Vilniaus miestas",,
"Antakalnio seniūnija","Žuvėdrų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių g.","Vilniaus miestas",,
"Antakalnio seniūnija","J. Biliūno g.","Vilniaus miestas",,
"Antakalnio seniūnija","Laurų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Lazdynų Pelėdos g.","Vilniaus miestas",,
"Antakalnio seniūnija","J. Škėmos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kalno g. ","Vilniaus miestas","54-10000, 51-9999",
"Antakalnio seniūnija","Barsukynės g.","Vilniaus miestas",,
"Antakalnio seniūnija","Bruknių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Duburio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Lietaviškių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Nakvišų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Rasakilų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Sadūniškių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Sokiškių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Taurijos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Apuolės g.","Vilniaus miestas",,
"Antakalnio seniūnija","Vikučionių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Dvarčionių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Giedros g.","Vilniaus miestas",,
"Antakalnio seniūnija","S. Kairio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Keramikų g.","Vilniaus miestas",,
"Antakalnio seniūnija","S. Kerbedžio g.","Vilniaus miestas",,
"Antakalnio seniūnija","Koklių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kregždžių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Moliakalnio g.","Vilniaus miestas",,
"Antakalnio seniūnija","P. Morkūno g.","Vilniaus miestas",,
"Antakalnio seniūnija","Puodžių g.","Vilniaus miestas",,
"Antakalnio seniūnija","F. Rimgailos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Vanagų g.","Vilniaus miestas",,
"Antakalnio seniūnija","M. Počobuto g","Vilniaus miestas",,
"Antakalnio seniūnija","L. Karsavino g.","Vilniaus miestas",,
"Antakalnio seniūnija","M. Rėmerio g.","Vilniaus miestas",,
"Antakalnio seniūnija","V. Sezemano g.","Vilniaus miestas",,
"Antakalnio seniūnija","K. Semenavičiaus g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 4-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 5-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 6-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 7-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 8-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 9-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 10-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Antavilių Sodų 12-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Dvarčionių Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Dvarčionių Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Dvarčionių Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Girinaičių g.","Vilniaus miestas",,
"Antakalnio seniūnija","Girininkijos g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gelvadiškių Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gelvadiškių Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gelvadiškių Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gelvadiškių Sodų 4-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gelvadiškių Sodų 5-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gelvadiškių Sodų 6-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 4-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 5-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 6-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 7-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 8-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 9-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 10-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 11-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 12-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 13-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 14-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 15-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Gvazdikų Sodų 16-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų  3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 4-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 5-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 6-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų  7-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 8-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 9-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 10-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 11-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 12-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 13-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 14-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 15-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 16-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 17-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 18-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 19-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 20-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 21-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 22-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 23-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 24-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 25-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 26-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 27-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Juodvarnių Sodų 28-oji g","Vilniaus miestas",,
"Antakalnio seniūnija","Kairėnės Sodų g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kairėnės Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kairėnės Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kairėnės Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kairėnės Sodų 4-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kalvų Sodų 1-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kalvų Sodų 2-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kalvų Sodų 3-oji g.","Vilniaus miestas",,
"Antakalnio seniūnija","Kalvų Sodų 4-oji g.","Vilniaus miestas",,
