old_name,new_name,title,active
"Civil parish member","seniūnija","seniūnas",1
"Mayor","savivaldybė","meras",1
"Member of parliament","Seimas","Seimo narys",1
"Seniūnaitis","seniūnaitija","seniūnaitis",0
