id,country,county,municipality,civilparish,city,citygenitive,street
39,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Pušų gatvė
40,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,S. Daukanto gatvė
41,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,S. Nėries gatvė
42,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Saulės gatvė
43,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Skvero gatvė
44,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Sodų gatvė
45,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Sporto gatvė
46,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Statybininkų gatvė
47,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Strazdelio gatvė
48,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Suvalkiečių gatvė
49,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Taikos gatvė
50,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,V. Borisevičiaus gatvė
51,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,V. Kudirkos gatvė
52,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Vasario 16-osios gatvė
53,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Vilniaus gatvė
54,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Vytauto gatvė
55,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Ąžuolo gatvė
56,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Šilo gatvė
57,LIETUVOS RESPUBLIKA,Marijampolės apskritis,Kazlų Rūdos savivaldybė,,Kazlų Rūda,Kazlų Rūdos miestas,Žemaitės gatvė
